path	methods	auth_wrappers	perm_or_role_args	tenant_scoping	service_role_direct	tables_touched
app/api/v1/investments/route.ts	GET:8;POST:19	9:withPermission;20:withPermission	investments.manage,investments.view;	ctx.groupId;	0	
app/api/v1/jurisdictions/counties/route.ts	GET:17	19:withAdminDb	;	withAdminDb;	0	counties
app/api/v1/loans/[id]/repayments/route.ts	POST:9	11:withPermission	loans.approve;	ctx.groupId;	0	
app/api/v1/loans/[id]/route.ts	GET:11;PATCH:19	13:withAuth;21:withPermission	loans.approve;	ctx.groupId;	0	
app/api/v1/loans/policy/route.ts	GET:17;PUT:24	18:withAuth;25:withPermission	loans.policy.manage;	ctx.groupId;	0	
app/api/v1/loans/route.ts	GET:9;POST:17	10:withAuth;18:withAuth	;	ctx.groupId;	0	
app/api/v1/loans/upcoming-repayments/route.ts	GET:8	9:withAuth	;	ctx.groupId;	0	
app/api/v1/me/goals/[id]/progress/route.ts	POST:11	13:withAuth	;	ctx.groupId;	0	
app/api/v1/me/goals/[id]/route.ts	PATCH:11;DELETE:22	13:withAuth;24:withAuth	;	ctx.groupId;	0	
app/api/v1/me/goals/route.ts	GET:9;POST:18	10:withAuth;19:withAuth	;	ctx.groupId;	0	
app/api/v1/me/notifications/[id]/route.ts	PATCH:10	12:withAuth	;	ctx.groupId;	0	
app/api/v1/me/notifications/mark-all-read/route.ts	POST:8	9:withAuth	;	ctx.groupId;	0	
app/api/v1/me/notifications/route.ts	GET:14	15:withAuth	;	ctx.groupId;	0	
app/api/v1/me/passbook/route.ts	GET:9	10:withAuth	;	ctx.groupId;	0	
app/api/v1/me/wallet/route.ts	GET:8	9:withAuth	;	ctx.groupId;	0	
app/api/v1/meetings/[id]/attendance/route.ts	POST:9	11:withPermission	meetings.manage;	ctx.groupId;	0	
app/api/v1/meetings/[id]/resolutions/route.ts	POST:9	11:withPermission	meetings.manage;	ctx.groupId;	0	
app/api/v1/meetings/[id]/route.ts	GET:9;PATCH:17	11:withPermission;19:withPermission	meetings.manage,meetings.view;	ctx.groupId;	0	
app/api/v1/meetings/route.ts	GET:8;POST:20	9:withPermission;21:withPermission	meetings.manage,meetings.view;	ctx.groupId;	0	
app/api/v1/members/[id]/next-of-kin/[kinId]/route.ts	PATCH:12;DELETE:25	14:withAuth;27:withAuth	;	ctx.groupId;	0	
app/api/v1/members/[id]/next-of-kin/route.ts	GET:18;POST:30	20:withAuth;32:withAuth	;	ctx.groupId;	0	
app/api/v1/members/[id]/route.ts	GET:11;PATCH:20;PUT:37;DELETE:53	13:withAuth;22:withAuth;39:withAuth;55:withAuth	;	ctx.groupId;	0	
app/api/v1/members/[id]/status/route.ts	POST:21	23:withAuth	;	ctx.groupId;	0	
app/api/v1/members/route.ts	GET:8;POST:18	9:withAuth;19:withPermission	members.manage;	ctx.groupId;	0	
app/api/v1/mpesa/airtime/route.ts	POST:30	39:withAdminDb;56:withPermission	payments.disburse;	withAdminDb;ctx.groupId;	0	mpesa_callbacks
app/api/v1/mpesa/b2b/route.ts	POST:34;GET:114	43:withAdminDb;59:withPermission;76:withAdminDb;115:withPermission;117:withAdminDb	mpesa.view,payments.disburse;	withAdminDb;ctx.groupId;	0	members,mpesa_b,mpesa_callbacks,mpesa_transactions
app/api/v1/mpesa/b2c/route.ts	POST:31	53:withAdminDb;82:withPermission	payouts.manage;	withAdminDb;ctx.groupId;	0	Safaricom,mpesa_callbacks,the
app/api/v1/mpesa/balance/route.ts	POST:22;GET:80	31:withAdminDb;48:withPermission;55:withAdminDb;81:withPermission;83:withAdminDb	mpesa.view;	withAdminDb;ctx.groupId;	0	mpesa_callbacks,mpesa_transactions
app/api/v1/mpesa/bill-manager/route.ts	GET:51;POST:71;PUT:214	52:withPermission;55:withAdminDb;81:withAdminDb;93:withRole;116:withPermission;122:withAdminDb;149:withPermission;155:withAdminDb;183:withPermission;195:withAdminDb;218:withPermission;230:withPermission;242:withRole	mpesa.bill_manager.manage;super_admin	withAdminDb;ctx.groupId;	0	bill_manager_invoices,mpesa_callbacks
